,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,nu,Fluid_Velocity,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.0025,1000,0,0,0.03,1.00E-05,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,T3D1d.5Case,0,-1
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00165,1000,0,0,0.0066,1.00E-05,0.01,0.000398284,0.043403286,4.11907053,18.05649998,0.003810759,0.004083832,0.004228177,0.004587851,0.005101632,0.005609757,0.012805541,T.66D0.33d.33Case,357000,TRUE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00108,1000,0,0,0.0132,1.00E-05,0.01,0.314343035,0.378724843,0.926150084,0.528123891,0.009187376,0.011198868,0.012123281,0.014070786,0.016146536,0.017601432,0.028417086,T1.32D0.66d.2178Case,500000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00108,1000,0,0,0.00495,1.00E-05,0.01,0.007555876,0.129287004,1.78094995,2.790011024,0.002567243,0.002851931,0.003024479,0.003688264,0.005281826,0.006685994,0.015730792,T.495D0.33d.2178Case,494000,TRUE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00165,1000,0,0,0.0198,1.00E-05,0.01,0.327978969,0.375919551,0.862157524,0.640014608,0.010825526,0.013028402,0.013956507,0.015820079,0.01783104,0.019208315,0.0300717,T1.98D0.66d.330Case,500000,FALSE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.0033,1000,0,0,0.0066,1.00E-05,0.01,0.001050965,0.010034904,6.836608887,55.50115837,0.006926421,0.007279489,0.007486664,0.007976041,0.008528953,0.008936047,0.013565008,T.66D0.66d.66Case,500000,TRUE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.0025,1000,0,0,0.015,1.00E-05,0.01,0.417447656,0.445304781,0.596909642,0.059363293,0.011761939,0.01402321,0.015097673,0.017308788,0.019670064,0.021272959,0.033522162,T1.5D1d.5Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00033,1000,0,0,0.002,1.00E-05,0.01,0.068475492,0.15103972,1.731310725,2.846196573,0.000967219,0.002016161,0.002913225,0.004890511,0.006850725,0.008107782,0.016446244,T.2D0.1d.066Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00016,1000,0,0,0.0015,1.00E-05,0.01,0.158247784,0.313956857,37.37125778,1413.758889,0.00383303,0.007274554,0.008660542,0.011336414,0.013890376,0.015546303,0.026357903,T.15D0.1d.033Case,220000,FALSE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.0033,1000,0,0,0.01,1.00E-05,0.01,0.001441416,0.01683644,7.738258362,81.09815698,0.006990147,0.007376557,0.007602158,0.008087117,0.008652943,0.009071587,0.013727501,T1D1d.66Case,451000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00016,1000,0,0,0.003,1.00E-05,0.01,0.234084487,0.313640177,2.017219067,8.80105997,0.006006726,0.008985976,0.010225672,0.012725253,0.015201341,0.016784671,0.02692502,T.3D0.1d.033Case,142000,FALSE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00108,1000,0,0,0.0099,1.00E-05,0.01,0.324297339,0.368958831,0.77416271,0.081224516,0.008348737,0.010589953,0.011544,0.013565106,0.015739808,0.017238555,0.02806338,T.990D0.66d.2178Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.0005,1000,0,0,0.001,1.00E-05,0.01,0.000820132,0.079159714,2.679119587,7.302898763,0.001402505,0.0016017,0.001733381,0.002189642,0.00330403,0.00438818,0.012315356,T.1D0.1d.1Case,500000,TRUE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.00165,1000,0,0,0.03,1.00E-05,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,T3D1d.33Case,0,-1
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.00165,1000,0,0,0.015,1.00E-05,0.01,0.384157866,0.437361658,0.782695472,0.223006866,0.011429427,0.013880067,0.014926042,0.017106932,0.019410539,0.020994023,0.033567328,T1.5D1d.33Case,500000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00165,1000,0,0,0.0033,1.00E-05,0.01,0.000742341,0.031915579,5.011451244,27.23923733,0.003987544,0.004370321,0.004544325,0.004963095,0.005513032,0.005964766,0.012350404,T.33D0.33d.33Case,366000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00025,1000,0,0,0.002,1.00E-05,0.01,0.077643476,0.158394113,1.675519228,2.662769659,0.000949011,0.002342332,0.003261306,0.005192661,0.007135682,0.008379016,0.016603563,T.2D0.1d.05Case,500000,FALSE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.0033,1000,0,0,0.0198,1.00E-05,0.01,0.001204904,0.01949323,6.848047733,55.37196156,0.007084152,0.007508555,0.007726999,0.008232989,0.00880759,0.00922805,0.014845726,T1.98D0.66d.66Case,454000,TRUE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00082,1000,0,0,0.0099,1.00E-05,0.01,0.216941074,0.273923904,1.220548153,1.484702464,0.006454946,0.00826662,0.009046617,0.010712735,0.012505842,0.013733011,0.022686599,T.99D0.33d.165Case,500000,FALSE
